text,label
thầy giảng tận tâm .,1
cô rất tận tình .,1
"khi giảng bài , nói rất nhanh và khó nghe .",0
giảng viên hòa đồng và kể rất nhiều chuyện mang tính cập nhật thời sự .,1
nên tăng thời lượng môn học vì chương trình học còn khá nặng đối với sinh viên học lần đầu .,0
thầy dạy rất là chi tiết và tận tâm với sinh viên .,1
"cô nhiệt tình , tận tâm hướng dẫn .",1
"giáo viên nhiệt tình , vui tính .",1
funny .,1
giảng viên nhiệt tình tận tâm .,1
không có sự lôi cuốn và thu hút trong cách giảng .,0
"cô tận tình giảng dạy , thân thiện .",1
cho nhiều bài tập về nhà để luyện các kỹ năng nghe và đọc .,1
"tận tình , không có thời gian chết .",1
nên cho thêm bài tập nhóm để học sinh thảo luận .,0
"em nói điều này có thể hơi xúc phạm nhưng kỹ năng sư phạm của thầy cần được cải thiện , mặc dù kiến thức chuyên môn có cao đi chăng nữa .",0
thầy dạy rất hay chỉ chỉ bảo tận tình .,1
giảng viên luôn vui vẻ và tận tình giúp đỡ sinh viên .,1
bài tập thầy ra hơi khó .,0
không hiểu gì khi ngồi nghe trong lớp .,0
thầy giảng bài dễ hiểu !,1
"cô tạo được một môi trường học tập rất thân thiện , thoải mái và không kém phần bổ ích cho sinh viên , hy vọng cô sẽ dạy nhiều hơn .",1
"đến khi cuối kỳ , chỉ cần sinh viên mắc một sai sót nhỏ thì sẽ rớt môn .",0
dạy rất dễ hiểu .,1
"cần nâng cấp máy tính trong phòng thực hành , nhiều kit de2 bị lỗi cần sửa chữa hoặc thay mới .",0
nhiệt tình giúp sinh viên giải đáp thắc mắc .,1
không có điều gì không hài lòng .,1
"do năm nay chường trình av nâng lên một bậc , nên cũng giống như em vừa học xong av1 , lại nhảy lên thẳng av3 của năm ngoái .",0
"bài tập thầy cho quá nhiều , xong chưa có trọng tâm và quá nhiều lý thuyết dẫn đến thời gian thực hành kém .",0
"như vậy , sinh viên làm đồ án sẽ không có tương tác thực tế với giảng viên tương tác qua moodle thì vẫn được .",0
"em không thể nghe được thầy nói gì do khác vùng miền , cách giảng dạy chưa có sức hấp dẫn .",0
gửi mail mà không thấy cô trả lời .,0
bài tập hơi khó .,0
"thầy giảng nhiệt tình , minh họa cụ thể .",1
"giảng viên nhiệt tình , tận tâm với công việc , slide dễ hiểu , hoạt động học tập sôi nổi , luôn giải đáp mọi thắc mắc của sinh viên về bài học .",1
"thầy dạy ổn , đúng với lý thuyết .",1
"cô wzjwz221 rất nhiệt tình trong giờ thực hành , tận tâm , sẵn sàng giúp đỡ tìm lỗi sai và chỉ cách khắc phục .",1
hi vọng cô có thể giảng dạy lý thuyết xen kẽ với bài tập trong mỗi buổi học để giúp sinh viên hiểu rõ vấn đề cần nắm hơn .,0
thầy dạy nhiệt tình có nhiều tiết bài tập cho sinh viên .,1
"thầy dạy dễ hiểu , sinh động .",1
"mong rằng ở các khóa học sau , trường sẽ cung cấp giáo trình cho sinh viên chúng em để chúng em được thuận tiện hơn trong học tập .",0
hy vọng học kỳ tiếp theo được học môn cấu trúc rời rạc của thầy .,0
thầy thường hay cho nghỉ .,0
khó nghe .,0
giảng viên vui vẻ hòa đồng .,1
"giảng viên rất tôn trọng sinh viên , hướng dẫn tận tình cho sinh viên cách học và ôn tập cuối kỳ , ngoài ra còn hướng dẫn chi tiết cho sinh viên về đồ án tốt nghiệp .",1
phải tạo điều kiện cho sinh viên thực hành nhiều hơn .,0
"giảng viên khiến sinh viên có khoảng cách , khó gần gũi .",0
phần lớn chỉ là lý thuyết và bài tập .,1
dạy nhiệt huyết .,1
